"module name","license","repository"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimist@1.2.6","MIT","https://github.com/substack/minimist"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"negotiator@0.6.3","MIT","https://github.com/jshttp/negotiator"
"neo-async@2.6.2","MIT","https://github.com/suguru03/neo-async"
"oauth-sign@0.9.0","Apache-2.0","https://github.com/mikeal/oauth-sign"
"on-finished@2.3.0","MIT","https://github.com/jshttp/on-finished"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"performance-now@2.1.0","MIT","https://github.com/braveg1rl/performance-now"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"psl@1.8.0","MIT","https://github.com/lupomontero/psl"
"punycode@2.1.1","MIT","https://github.com/bestiejs/punycode.js"
"qs@6.5.3","BSD-3-Clause","https://github.com/ljharb/qs"
"qs@6.9.7","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.4.3","MIT","https://github.com/stream-utils/raw-body"
"request@2.88.2","Apache-2.0","https://github.com/request/request"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"send@0.17.2","MIT","https://github.com/pillarjs/send"
"serve-static@1.14.2","MIT","https://github.com/expressjs/serve-static"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"sshpk@1.17.0","MIT","https://github.com/joyent/node-sshpk"
"statuses@1.5.0","MIT","https://github.com/jshttp/statuses"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"tough-cookie@2.5.0","BSD-3-Clause","https://github.com/salesforce/tough-cookie"
"tunnel-agent@0.6.0","Apache-2.0","https://github.com/mikeal/tunnel-agent"
"tweetnacl@0.14.5","Unlicense","https://github.com/dchest/tweetnacl-js"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"uglify-js@3.15.4","BSD-2-Clause","https://github.com/mishoo/UglifyJS"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"uri-js@4.4.1","BSD-2-Clause","https://github.com/garycourt/uri-js"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"uuid@3.4.0","MIT","https://github.com/uuidjs/uuid"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"verror@1.10.0","MIT","https://github.com/davepacheco/node-verror"
"walk@2.3.15","(MIT OR Apache-2.0)","https://git.coolaj86.com/coolaj86/fs-walk.js"
"weatherapp@1.0.0","MIT","https://github.com/mtvi/weather-app"
"wordwrap@1.0.0","MIT","https://github.com/substack/node-wordwrap"
